id;cliente;remitente;destinatario;proveedor;ref_remitente;ref_destinatario;codigo_arancelario_origen;descripcion;importe;provincia_destino;uds;peso
1;Práctico schemas sensor;Avenida Avon;whiteboard;Gris Productor Guapa;action-items aplicación Berkshire;Barranco Avon;networks;wireless holistic;25355;solutions;94427;68225
2;Optimización;empower Marroquinería Distrito;Amarillo Refinado;Mejorado Comunicaciones;navigating Hormigon;mesh;Director harness Investment;card Distrito;30024;Respuesta;6177;1462
3;exploit;Calidad;invoice;Verde;Raton Corporativo;fritas bandwidth;Solar Inteligente;transparent up interface;90656;Rústico Aragón Datos;42989;27402
4;Directo;deposit Sorprendente software;Hormigon Informática;Ordenador;Optimización Madagascar Factores;Irak;Andalucía;sistemática Ladrillo;38041;real;56409;68467
5;sensor Berkshire Algodón;compress;deposit Buckinghamshire;functionalities Papelería;Ronda;Oficial;Mesa e-services;Vasco bluetooth Identidad;62423;Exclusivo Jefe deposit;78175;83445
6;withdrawal Ladrillo;calculate;compressing;schemas Madera necesidades;interface Intranet;Partida;overriding networks Arquitecto;XSS móbil Genérico;80302;Mesa Librería;30367;78491
7;dedicada back-end neural;Marroquinería tangible;estrategia SMTP Artesanal;channels;programming Borders Inteligente;Gris dinámica;Riera;Digitalizado 5th Cambridgeshire;30496;Práctico Dong infrastructures;68525;86067
8;New Senior;Pizza didactica recontextualize;Comunidad;Berkshire;Namibia;Algodón;Personal Borders Seguro;Plástico Heredado pixel;35749;XSS Cantabria;14855;21975
9;Joyería;Refinado Buckinghamshire;override;actitud Account;parsing Travesía Madera;Fantástico brand e-business;synergies transform input;Negro;9220;Credit;2136;83656
10;Plástico Camiseta;Account;deliverables;Parafarmacia hardware multitarea;copying primary enterprise;synthesize enfoque;País overriding Inteligente;Gerente open-source Especialista;70085;action-items Fácil;81205;98208
